Year,Access to Basic Services,Sector,Wealth Index Quintile,Geopolitical zone,Education Status,State,GeoCode,Value
2017,Television,,,,,Akwa Ibom,NGAK03,67.9
2017,Telephone,,,,,Akwa Ibom,NGAK03,86.3
2021,Water,,,,,Akwa Ibom,NGAK03,72.8
2021,Sanitation,,,,,Akwa Ibom,NGAK03,54.7
2021,Electricity,,,,,Akwa Ibom,NGAK03,52.3
2021,Radio,,,,,Akwa Ibom,NGAK03,49.0
2021,Television,,,,,Akwa Ibom,NGAK03,35.2
2021,Internet,,,,,Akwa Ibom,NGAK03,27.7
2021,Telephone,,,,,Akwa Ibom,NGAK03,83.8
2017,Water,,,,,Anambra,NGAN04,84.4
2017,Sanitation,,,,,Anambra,NGAN04,56.7
2017,Electricity,,,,,Anambra,NGAN04,71.5
2017,Radio,,,,,Anambra,NGAN04,71.1
2017,Television,,,,,Anambra,NGAN04,73.8
2017,Telephone,,,,,Anambra,NGAN04,86.9
2021,Water,,,,,Anambra,NGAN04,90.9
2021,Sanitation,,,,,Anambra,NGAN04,69.3
2021,Electricity,,,,,Anambra,NGAN04,91.0
2021,Radio,,,,,Anambra,NGAN04,58.5
2021,Television,,,,,Anambra,NGAN04,76.7
2021,Internet,,,,,Anambra,NGAN04,45.6
2021,Telephone,,,,,Anambra,NGAN04,97.4
2017,Water,,,,,Bauchi,NGBA05,60.2
2017,Sanitation,,,,,Bauchi,NGBA05,37.8
2017,Electricity,,,,,Bauchi,NGBA05,29.0
2017,Radio,,,,,Bauchi,NGBA05,62.8
2017,Television,,,,,Bauchi,NGBA05,17.2
2017,Telephone,,,,,Bauchi,NGBA05,54.6
2021,Water,,,,,Bauchi,NGBA05,55.3
2021,Sanitation,,,,,Bauchi,NGBA05,34.2
2021,Electricity,,,,,Bauchi,NGBA05,17.2
2021,Radio,,,,,Bauchi,NGBA05,24.0
2021,Television,,,,,Bauchi,NGBA05,7.9
2021,Internet,,,,,Bauchi,NGBA05,13.5
2021,Telephone,,,,,Bauchi,NGBA05,77.9
2017,Water,,,,,Bayelsa,NGBY06,60.6
2017,Sanitation,,,,,Bayelsa,NGBY06,20.9
2017,Electricity,,,,,Bayelsa,NGBY06,46.6
2017,Radio,,,,,Bayelsa,NGBY06,44.8
2017,Television,,,,,Bayelsa,NGBY06,61.3
2017,Telephone,,,,,Bayelsa,NGBY06,80.3
2021,Water,,,,,Bayelsa,NGBY06,54.2
2021,Sanitation,,,,,Bayelsa,NGBY06,24.5
2021,Electricity,,,,,Bayelsa,NGBY06,47.6
2021,Radio,,,,,Bayelsa,NGBY06,25.8
2021,Television,,,,,Bayelsa,NGBY06,42.5
2021,Internet,,,,,Bayelsa,NGBY06,31.4
2021,Telephone,,,,,Bayelsa,NGBY06,86.6
2017,Water,,,,,Benue,NGBE07,64.3
2017,Sanitation,,,,,Benue,NGBE07,22.2
2017,Electricity,,,,,Benue,NGBE07,34.5
2017,Radio,,,,,Benue,NGBE07,52.2
2017,Television,,,,,Benue,NGBE07,38.5
2017,Telephone,,,,,Benue,NGBE07,86.2
2021,Water,,,,,Benue,NGBE07,51.8
2021,Sanitation,,,,,Benue,NGBE07,33.1
2021,Electricity,,,,,Benue,NGBE07,33.2
2021,Radio,,,,,Benue,NGBE07,37.9
2021,Television,,,,,Benue,NGBE07,24.3
2021,Internet,,,,,Benue,NGBE07,18.4
2021,Telephone,,,,,Benue,NGBE07,79.2
2017,Water,,,,,Borno,NGBO08,47.0
2017,Sanitation,,,,,Borno,NGBO08,52.3
2017,Electricity,,,,,Borno,NGBO08,63.4
2017,Radio,,,,,Borno,NGBO08,47.7
2017,Television,,,,,Borno,NGBO08,49.5
2017,Telephone,,,,,Borno,NGBO08,91.9
2021,Water,,,,,Borno,NGBO08,69.2
2021,Sanitation,,,,,Borno,NGBO08,55.2
2021,Electricity,,,,,Borno,NGBO08,45.3
2021,Radio,,,,,Borno,NGBO08,23.1
2021,Television,,,,,Borno,NGBO08,21.7
2021,Internet,,,,,Borno,NGBO08,21.2
2021,Telephone,,,,,Borno,NGBO08,87.6
2017,Water,,,,,Cross River,NGXR09,53.9
2017,Sanitation,,,,,Cross River,NGXR09,25.5
2017,Electricity,,,,,Cross River,NGXR09,38.1
2017,Radio,,,,,Cross River,NGXR09,53.4
2017,Television,,,,,Cross River,NGXR09,49.1
2017,Telephone,,,,,Cross River,NGXR09,72.9
2021,Water,,,,,Cross River,NGXR09,51.7
2021,Sanitation,,,,,Cross River,NGXR09,18.2
2021,Electricity,,,,,Cross River,NGXR09,28.2
2021,Radio,,,,,Cross River,NGXR09,37.3
2021,Television,,,,,Cross River,NGXR09,22.9
2021,Internet,,,,,Cross River,NGXR09,25.3
2021,Telephone,,,,,Cross River,NGXR09,74.1
2017,Water,,,,,Delta,NGDE10,79.4
2017,Sanitation,,,,,Delta,NGDE10,38.1
2017,Electricity,,,,,Delta,NGDE10,71.6
2017,Radio,,,,,Delta,NGDE10,51.8
2017,Television,,,,,Delta,NGDE10,69.9
2017,Telephone,,,,,Delta,NGDE10,81.4
2021,Water,,,,,Delta,NGDE10,79.1
2021,Sanitation,,,,,Delta,NGDE10,46.7
2021,Electricity,,,,,Delta,NGDE10,72.5
2021,Radio,,,,,Delta,NGDE10,42.6
2021,Television,,,,,Delta,NGDE10,59.1
2021,Internet,,,,,Delta,NGDE10,40.3
2021,Telephone,,,,,Delta,NGDE10,88.8
2017,Water,,,,,Ebonyi,NGEB11,76.4
2017,Sanitation,,,,,Ebonyi,NGEB11,12.1
2017,Electricity,,,,,Ebonyi,NGEB11,31.1
2017,Radio,,,,,Ebonyi,NGEB11,55.5
2017,Television,,,,,Ebonyi,NGEB11,34.7
2017,Telephone,,,,,Ebonyi,NGEB11,54.6
2021,Water,,,,,Ebonyi,NGEB11,85.7
2021,Sanitation,,,,,Ebonyi,NGEB11,67.0
2021,Electricity,,,,,Ebonyi,NGEB11,48.4
2021,Radio,,,,,Ebonyi,NGEB11,52.4
2021,Television,,,,,Ebonyi,NGEB11,48.6
2021,Internet,,,,,Ebonyi,NGEB11,59.4
2021,Telephone,,,,,Ebonyi,NGEB11,93.8
2017,Water,,,,,Edo,NGED12,87.9
2017,Sanitation,,,,,Edo,NGED12,51.6
2017,Electricity,,,,,Edo,NGED12,85.5
2017,Radio,,,,,Edo,NGED12,60.7
2017,Television,,,,,Edo,NGED12,77.7
2017,Telephone,,,,,Edo,NGED12,86.4
2021,Water,,,,,Edo,NGED12,93.5
2021,Sanitation,,,,,Edo,NGED12,49.6
2021,Electricity,,,,,Edo,NGED12,88.9
2021,Radio,,,,,Edo,NGED12,49.5
2021,Television,,,,,Edo,NGED12,75.0
2021,Internet,,,,,Edo,NGED12,44.7
2021,Telephone,,,,,Edo,NGED12,95.5
2017,Water,,,,,Ekiti,NGEK13,84.4
2017,Sanitation,,,,,Ekiti,NGEK13,25.5
2017,Electricity,,,,,Ekiti,NGEK13,70.1
2017,Radio,,,,,Ekiti,NGEK13,63.9
