Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical zone,Education Level,Ethnicity,State,GeoCode,Value
2021,Lower secondary completion rate,,,,,,,Rivers,NGRI32,92.8
2021,Lower secondary completion rate,,,,,,,Sokoto,NGSO33,32.6
2021,Lower secondary completion rate,,,,,,,Taraba,NGTA34,58.4
2021,Lower secondary completion rate,,,,,,,Yobe,NGYO35,39.8
2021,Lower secondary completion rate,,,,,,,Zamfara,NGZA36,43.2
2021,Lower secondary completion rate,,,,,,,Federal Capital Territory,NGFC37,86.1
2021,Upper secondary completion rate,,,,,,,,NG,53.6
2021,Upper secondary completion rate,,Male,,,,,,NG,56.9
2021,Upper secondary completion rate,,Female,,,,,,NG,50.5
2021,Upper secondary completion rate,Urban,,,,,,,NG,75.8
2021,Upper secondary completion rate,Rural,,,,,,,NG,37.2
2021,Upper secondary completion rate,,,,,,Hausa,,NG,36.4
2021,Upper secondary completion rate,,,,,,Igbo,,NG,81.2
2021,Upper secondary completion rate,,,,,,Yoruba,,NG,77.0
2021,Upper secondary completion rate,,,,,,Fulani,,NG,18.9
2021,Upper secondary completion rate,,,,,,Kanuri,,NG,32.3
2021,Upper secondary completion rate,,,,,,Ijaw,,NG,69.4
2021,Upper secondary completion rate,,,,,,Tiv,,NG,41.1
2021,Upper secondary completion rate,,,,,,Ibibio,,NG,69.0
2021,Upper secondary completion rate,,,,,,Edo,,NG,81.2
2021,Upper secondary completion rate,,,,,,Other ethnicity,,NG,57.6
2021,Upper secondary completion rate,,,Poorest,,,,,NG,15.6
2021,Upper secondary completion rate,,,Second,,,,,NG,32.5
2021,Upper secondary completion rate,,,Middle,,,,,NG,55.8
2021,Upper secondary completion rate,,,Fourth,,,,,NG,76.3
2021,Upper secondary completion rate,,,Richest,,,,,NG,89.7
2021,Upper secondary completion rate,,,,North  Central,,,,NGNCZ06,54.3
2021,Upper secondary completion rate,,,,North East,,,,NGNEZ05,33.3
2021,Upper secondary completion rate,,,,North West,,,,NGNWZ04,36.6
2021,Upper secondary completion rate,,,,South East,,,,NGSEZ03,82.3
2021,Upper secondary completion rate,,,,South South,,,,NGSSZ02,71.0
2021,Upper secondary completion rate,,,,South West,,,,NGSWZ01,72.8
2021,Upper secondary completion rate,,,,,,,Abia,NGAB01,76.4
2021,Upper secondary completion rate,,,,,,,Adamawa,NGAD02,47.3
2021,Upper secondary completion rate,,,,,,,Akwa Ibom,NGAK03,67.5
2021,Upper secondary completion rate,,,,,,,Anambra,NGAN04,90.3
2021,Upper secondary completion rate,,,,,,,Bauchi,NGBA05,17.3
2021,Upper secondary completion rate,,,,,,,Bayelsa,NGBY06,74.7
2021,Upper secondary completion rate,,,,,,,Benue,NGBE07,44.5
2021,Upper secondary completion rate,,,,,,,Borno,NGBO08,36.8
2021,Upper secondary completion rate,,,,,,,Cross River,NGXR09,59.8
2021,Upper secondary completion rate,,,,,,,Delta,NGDE10,68.7
2021,Upper secondary completion rate,,,,,,,Ebonyi,NGEB11,87.3
2021,Upper secondary completion rate,,,,,,,Edo,NGED12,78.5
2021,Upper secondary completion rate,,,,,,,Ekiti,NGEK13,70.6
