Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Form of violence,Units,GeoCode,Value
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,,Physical Violence,Percentage (%),NG,11.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",Urban,,,,,,Physical Violence,Percentage (%),NG,10.5
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",Rural,,,,,,Physical Violence,Percentage (%),NG,12.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,15-19,,,,,Physical Violence,Percentage (%),NG,9.4
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,20-24,,,,,Physical Violence,Percentage (%),NG,15.5
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,25-29,,,,,Physical Violence,Percentage (%),NG,13.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,30-39,,,,,Physical Violence,Percentage (%),NG,12.1
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,40-49,,,,,Physical Violence,Percentage (%),NG,7.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,North Central,,,Physical Violence,Percentage (%),NGNCZ06,18.3
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,North East,,,Physical Violence,Percentage (%),NGNEZ05,15.0
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,North West,,,Physical Violence,Percentage (%),NGNWZ04,5.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,South East,,,Physical Violence,Percentage (%),NGSEZ03,14.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,South South,,,Physical Violence,Percentage (%),NGSSZ02,18.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,South West,,,Physical Violence,Percentage (%),NGSWZ01,7.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,None,,,,Physical Violence,Percentage (%),NG,10.3
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,Primary,,,,Physical Violence,Percentage (%),NG,13.7
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,Secondary,,,,Physical Violence,Percentage (%),NG,14.4
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,Higher,,,,Physical Violence,Percentage (%),NG,5.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,Lowest,,Physical Violence,Percentage (%),NG,10.1
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,Second,,Physical Violence,Percentage (%),NG,12.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,Middle,,Physical Violence,Percentage (%),NG,14.3
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,Fourth,,Physical Violence,Percentage (%),NG,13.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,Highest,,Physical Violence,Percentage (%),NG,8.1
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Abia,Physical Violence,Percentage (%),NGAB01,20.3
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Adamawa,Physical Violence,Percentage (%),NGAD02,32.2
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Akwa Ibom,Physical Violence,Percentage (%),NGAK03,22.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Anambra,Physical Violence,Percentage (%),NGAN04,12.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Bauchi,Physical Violence,Percentage (%),NGBA05,14.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Bayelsa,Physical Violence,Percentage (%),NGBY06,26.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Benue,Physical Violence,Percentage (%),NGBE07,30.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Borno,Physical Violence,Percentage (%),NGBO08,11.0
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Cross River,Physical Violence,Percentage (%),NGXR09,12.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Delta,Physical Violence,Percentage (%),NGDE10,11.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Ebonyi,Physical Violence,Percentage (%),NGEB11,18.5
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Edo,Physical Violence,Percentage (%),NGED12,21.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Ekiti,Physical Violence,Percentage (%),NGEK13,11.0
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Enugu,Physical Violence,Percentage (%),NGEN14,8.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Gombe,Physical Violence,Percentage (%),NGGO15,25.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Imo,Physical Violence,Percentage (%),NGIM16,15.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Jigawa,Physical Violence,Percentage (%),NGJI17,1.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Kaduna,Physical Violence,Percentage (%),NGKD18,13.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Kano,Physical Violence,Percentage (%),NGKN19,2.7
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Katsina,Physical Violence,Percentage (%),NGKT20,3.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Kebbi,Physical Violence,Percentage (%),NGKE21,7.2
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Kogi,Physical Violence,Percentage (%),NGKO22,9.5
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Kwara,Physical Violence,Percentage (%),NGKW23,11.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Lagos,Physical Violence,Percentage (%),NGLA24,4.5
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Nasarawa,Physical Violence,Percentage (%),NGNA25,7.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Niger,Physical Violence,Percentage (%),NGNI26,21.4
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Ogun,Physical Violence,Percentage (%),NGOG27,5.5
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Ondo,Physical Violence,Percentage (%),NGON28,8.5
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Osun,Physical Violence,Percentage (%),NGOS29,14.8
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Oyo,Physical Violence,Percentage (%),NGOY30,7.6
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Plateau,Physical Violence,Percentage (%),NGPL31,15.4
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Rivers,Physical Violence,Percentage (%),NGRI32,20.0
