Year,Series,Sector,Delivery coverage,Health service,Geopolitical Zone,State,GeoCode,Value
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Oyo,NGOY30,86.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Plateau,NGPL31,61.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Rivers,NGRI32,87.6
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Sokoto,NGSO33,35.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Taraba,NGTA34,45.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Yobe,NGYO35,41.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Zamfara,NGZA36,42.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,Federal Capital Territory,NGFC37,82.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Abia,NGAB01,89.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Adamawa,NGAD02,41.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Akwa Ibom,NGAK03,62.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Anambra,NGAN04,96.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Bauchi,NGBA05,17.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Bayelsa,NGBY06,32.4
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Benue,NGBE07,61.6
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Borno,NGBO08,37.1
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Cross River,NGXR09,56.6
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Delta,NGDE10,69.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Ebonyi,NGEB11,68.6
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Edo,NGED12,92.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Ekiti,NGEK13,80.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Enugu,NGEN14,86.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Gombe,NGGO15,29.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Imo,NGIM16,92.4
