Year,Access to Basic Services,Place of Residence,Wealth Index Quintile,Geopolitical zones,Education Status,State,Value
2017,Water,,,,,Ekiti,84.4
2017,Sanitation,,,,,Ekiti,25.5
2017,Electricity,,,,,Ekiti,70.1
2017,Radio,,,,,Ekiti,63.9
2017,Television,,,,,Ekiti,63.4
2017,Internet,,,,,Ekiti,
2017,Telephone,,,,,Ekiti,89.2
2021,Water,,,,,Ekiti,82.6
2021,Sanitation,,,,,Ekiti,25.4
2021,Electricity,,,,,Ekiti,63.9
2021,Radio,,,,,Ekiti,58.2
2021,Television,,,,,Ekiti,38.2
2021,Internet,,,,,Ekiti,22.7
2021,Telephone,,,,,Ekiti,93.2
2017,Water,,,,,Enugu,59.2
2017,Sanitation,,,,,Enugu,32.9
2017,Electricity,,,,,Enugu,70.1
2017,Radio,,,,,Enugu,61.7
2017,Television,,,,,Enugu,63.3
2017,Internet,,,,,Enugu,
2017,Telephone,,,,,Enugu,87.7
2021,Water,,,,,Enugu,86.5
2021,Sanitation,,,,,Enugu,45.7
2021,Electricity,,,,,Enugu,81.1
2021,Radio,,,,,Enugu,49.8
2021,Television,,,,,Enugu,61.5
2021,Internet,,,,,Enugu,50.5
2021,Telephone,,,,,Enugu,92.7
2017,Water,,,,,Gombe,39.2
2017,Sanitation,,,,,Gombe,42.9
2017,Electricity,,,,,Gombe,41.2
2017,Radio,,,,,Gombe,47.2
2017,Television,,,,,Gombe,21.5
2017,Internet,,,,,Gombe,
2017,Telephone,,,,,Gombe,63.3
2021,Water,,,,,Gombe,51.0
2021,Sanitation,,,,,Gombe,47.5
2021,Electricity,,,,,Gombe,40.2
2021,Radio,,,,,Gombe,41.7
2021,Television,,,,,Gombe,18.3
2021,Internet,,,,,Gombe,31.9
2021,Telephone,,,,,Gombe,81.2
2017,Water,,,,,Imo,92.2
2017,Sanitation,,,,,Imo,57.8
2017,Electricity,,,,,Imo,73.8
2017,Radio,,,,,Imo,67.3
2017,Television,,,,,Imo,72.5
2017,Internet,,,,,Imo,
2017,Telephone,,,,,Imo,90.5
2021,Water,,,,,Imo,90.8
2021,Sanitation,,,,,Imo,58.2
2021,Electricity,,,,,Imo,74.7
2021,Radio,,,,,Imo,57.6
2021,Television,,,,,Imo,60.7
2021,Internet,,,,,Imo,53.8
2021,Telephone,,,,,Imo,95.8
2017,Water,,,,,Jigawa,79.4
2017,Sanitation,,,,,Jigawa,32.8
2017,Electricity,,,,,Jigawa,25.7
2017,Radio,,,,,Jigawa,45.1
2017,Television,,,,,Jigawa,12.1
2017,Internet,,,,,Jigawa,
2017,Telephone,,,,,Jigawa,52.9
2021,Water,,,,,Jigawa,74.6
2021,Sanitation,,,,,Jigawa,29.2
2021,Electricity,,,,,Jigawa,12.7
2021,Radio,,,,,Jigawa,23.5
2021,Television,,,,,Jigawa,4.4
2021,Internet,,,,,Jigawa,28.3
2021,Telephone,,,,,Jigawa,73.8
2017,Water,,,,,Kaduna,61.1
2017,Sanitation,,,,,Kaduna,29.4
2017,Electricity,,,,,Kaduna,64.7
2017,Radio,,,,,Kaduna,76.2
2017,Television,,,,,Kaduna,53.6
2017,Internet,,,,,Kaduna,
2017,Telephone,,,,,Kaduna,75.6
2021,Water,,,,,Kaduna,66.0
2021,Sanitation,,,,,Kaduna,42.5
2021,Electricity,,,,,Kaduna,69.5
2021,Radio,,,,,Kaduna,47.8
2021,Television,,,,,Kaduna,49.6
2021,Internet,,,,,Kaduna,44.5
2021,Telephone,,,,,Kaduna,92.2
2017,Water,,,,,Kano,57.9
2017,Sanitation,,,,,Kano,55.1
2017,Electricity,,,,,Kano,46.8
2017,Radio,,,,,Kano,64.7
2017,Television,,,,,Kano,25.6
2017,Internet,,,,,Kano,
2017,Telephone,,,,,Kano,55.6
2021,Water,,,,,Kano,66.2
2021,Sanitation,,,,,Kano,51.9
2021,Electricity,,,,,Kano,49.2
2021,Radio,,,,,Kano,45.6
2021,Television,,,,,Kano,29.0
2021,Internet,,,,,Kano,28.7
2021,Telephone,,,,,Kano,86.3
2017,Water,,,,,Katsina,60.8
2017,Sanitation,,,,,Katsina,28.2
2017,Electricity,,,,,Katsina,30.0
2017,Radio,,,,,Katsina,56.0
2017,Television,,,,,Katsina,20.4
2017,Internet,,,,,Katsina,
2017,Telephone,,,,,Katsina,55.8
2021,Water,,,,,Katsina,66.9
2021,Sanitation,,,,,Katsina,27.4
2021,Electricity,,,,,Katsina,29.7
2021,Radio,,,,,Katsina,38.0
2021,Television,,,,,Katsina,11.9
2021,Internet,,,,,Katsina,21.1
2021,Telephone,,,,,Katsina,79.8
2017,Water,,,,,Kebbi,55.3
2017,Sanitation,,,,,Kebbi,30.5
2017,Electricity,,,,,Kebbi,41.4
2017,Radio,,,,,Kebbi,44.8
2017,Television,,,,,Kebbi,21.5
2017,Internet,,,,,Kebbi,
2017,Telephone,,,,,Kebbi,50.9
2021,Water,,,,,Kebbi,59.0
2021,Sanitation,,,,,Kebbi,20.2
2021,Electricity,,,,,Kebbi,38.9
2021,Radio,,,,,Kebbi,27.7
2021,Television,,,,,Kebbi,13.7
2021,Internet,,,,,Kebbi,10.5
2021,Telephone,,,,,Kebbi,72.3
2017,Water,,,,,Kogi,70.2
2017,Sanitation,,,,,Kogi,21.7
2017,Electricity,,,,,Kogi,50.2
2017,Radio,,,,,Kogi,58.2
2017,Television,,,,,Kogi,54.0
2017,Internet,,,,,Kogi,
2017,Telephone,,,,,Kogi,83.0
2021,Water,,,,,Kogi,71.4
2021,Sanitation,,,,,Kogi,26.3
2021,Electricity,,,,,Kogi,58.2
2021,Radio,,,,,Kogi,43.6
2021,Television,,,,,Kogi,40.0
2021,Internet,,,,,Kogi,34.2
2021,Telephone,,,,,Kogi,91.2
2017,Water,,,,,Kwara,85.8
2017,Sanitation,,,,,Kwara,22.5
2017,Electricity,,,,,Kwara,71.8
2017,Radio,,,,,Kwara,74.4
2017,Television,,,,,Kwara,56.3
