Year,Series,Sector,Category of school,School type,Geopolitical zone,State,Type of service,Units,GeoCode,Value
2019,"Proportion of schools access basic services, by type of service",,,,,Adamawa,Avaliability of perimeter fencing,Percentage (%),NGAD02,24.9
2019,"Proportion of schools access basic services, by type of service",,,,,Akwa Ibom,Avaliability of perimeter fencing,Percentage (%),NGAK03,1.9
2019,"Proportion of schools access basic services, by type of service",,,,,Anambra,Avaliability of perimeter fencing,Percentage (%),NGAN04,36.6
2019,"Proportion of schools access basic services, by type of service",,,,,Bauchi,Avaliability of perimeter fencing,Percentage (%),NGBA05,8.4
2019,"Proportion of schools access basic services, by type of service",,,,,Bayelsa,Avaliability of perimeter fencing,Percentage (%),NGBY06,14.0
2019,"Proportion of schools access basic services, by type of service",,,,,Benue,Avaliability of perimeter fencing,Percentage (%),NGBE07,9.7
2019,"Proportion of schools access basic services, by type of service",,,,,Borno,Avaliability of perimeter fencing,Percentage (%),NGBO08,76.4
2019,"Proportion of schools access basic services, by type of service",,,,,Cross River,Avaliability of perimeter fencing,Percentage (%),NGXR09,17.0
2019,"Proportion of schools access basic services, by type of service",,,,,Delta,Avaliability of perimeter fencing,Percentage (%),NGDE10,72.1
2019,"Proportion of schools access basic services, by type of service",,,,,Ebonyi,Avaliability of perimeter fencing,Percentage (%),NGEB11,20.0
2019,"Proportion of schools access basic services, by type of service",,,,,Edo,Avaliability of perimeter fencing,Percentage (%),NGED12,40.0
2019,"Proportion of schools access basic services, by type of service",,,,,Ekiti,Avaliability of perimeter fencing,Percentage (%),NGEK13,29.8
2019,"Proportion of schools access basic services, by type of service",,,,,Enugu,Avaliability of perimeter fencing,Percentage (%),NGEN14,21.0
2019,"Proportion of schools access basic services, by type of service",,,,,Gombe,Avaliability of perimeter fencing,Percentage (%),NGGO15,16.4
2019,"Proportion of schools access basic services, by type of service",,,,,Imo,Avaliability of perimeter fencing,Percentage (%),NGIM16,25.2
2019,"Proportion of schools access basic services, by type of service",,,,,Jigawa,Avaliability of perimeter fencing,Percentage (%),NGJI17,9.6
2019,"Proportion of schools access basic services, by type of service",,,,,Kaduna,Avaliability of perimeter fencing,Percentage (%),NGKD18,12.5
2019,"Proportion of schools access basic services, by type of service",,,,,Kano,Avaliability of perimeter fencing,Percentage (%),NGKN19,35.2
2019,"Proportion of schools access basic services, by type of service",,,,,Katsina,Avaliability of perimeter fencing,Percentage (%),NGKT20,25.6
2019,"Proportion of schools access basic services, by type of service",,,,,Kebbi,Avaliability of perimeter fencing,Percentage (%),NGKE21,21.6
2019,"Proportion of schools access basic services, by type of service",,,,,Kogi,Avaliability of perimeter fencing,Percentage (%),NGKO22,6.0
2019,"Proportion of schools access basic services, by type of service",,,,,Kwara,Avaliability of perimeter fencing,Percentage (%),NGKW23,12.8
2019,"Proportion of schools access basic services, by type of service",,,,,Lagos,Avaliability of perimeter fencing,Percentage (%),NGLA24,90.1
2019,"Proportion of schools access basic services, by type of service",,,,,Nasarawa,Avaliability of perimeter fencing,Percentage (%),NGNA25,15.8
2019,"Proportion of schools access basic services, by type of service",,,,,Niger,Avaliability of perimeter fencing,Percentage (%),NGNI26,22.7
2019,"Proportion of schools access basic services, by type of service",,,,,Ogun,Avaliability of perimeter fencing,Percentage (%),NGOG27,50.4
2019,"Proportion of schools access basic services, by type of service",,,,,Ondo,Avaliability of perimeter fencing,Percentage (%),NGON28,28.1
2019,"Proportion of schools access basic services, by type of service",,,,,Osun,Avaliability of perimeter fencing,Percentage (%),NGOS29,37.0
2019,"Proportion of schools access basic services, by type of service",,,,,Oyo,Avaliability of perimeter fencing,Percentage (%),NGOY30,36.4
2019,"Proportion of schools access basic services, by type of service",,,,,Plateau,Avaliability of perimeter fencing,Percentage (%),NGPL31,20.4
2019,"Proportion of schools access basic services, by type of service",,,,,Rivers,Avaliability of perimeter fencing,Percentage (%),NGRI32,55.2
2019,"Proportion of schools access basic services, by type of service",,,,,Sokoto,Avaliability of perimeter fencing,Percentage (%),NGSO33,17.0
2019,"Proportion of schools access basic services, by type of service",,,,,Taraba,Avaliability of perimeter fencing,Percentage (%),NGTA34,4.5
2019,"Proportion of schools access basic services, by type of service",,,,,Yobe,Avaliability of perimeter fencing,Percentage (%),NGYO35,22.5
2019,"Proportion of schools access basic services, by type of service",,,,,Zamfara,Avaliability of perimeter fencing,Percentage (%),NGZA36,22.0
2019,"Proportion of schools access basic services, by type of service",,,,,Federal Capital Territory,Avaliability of perimeter fencing,Percentage (%),NGFC37,36.2
2019,"Proportion of schools access basic services, by type of service",,,,,,Availability of toilet/laterine,Percentage (%),NG,43.0
2019,"Proportion of schools access basic services, by type of service",,,,North Central,,Availability of toilet/laterine,Percentage (%),NGNCZ06,43.0
2019,"Proportion of schools access basic services, by type of service",,,,North East,,Availability of toilet/laterine,Percentage (%),NGNEZ05,61.9
2019,"Proportion of schools access basic services, by type of service",,,,North West,,Availability of toilet/laterine,Percentage (%),NGNWZ04,69.2
2019,"Proportion of schools access basic services, by type of service",,,,South East,,Availability of toilet/laterine,Percentage (%),NGSEZ03,51.4
2019,"Proportion of schools access basic services, by type of service",,,,South South,,Availability of toilet/laterine,Percentage (%),NGSSZ02,58.7
2019,"Proportion of schools access basic services, by type of service",,,,South West,,Availability of toilet/laterine,Percentage (%),NGSWZ01,64.2
2019,"Proportion of schools access basic services, by type of service",Urban,,,,,Availability of toilet/laterine,Percentage (%),NG,75.5
2019,"Proportion of schools access basic services, by type of service",Peri-Urban,,,,,Availability of toilet/laterine,Percentage (%),NG,68.8
2019,"Proportion of schools access basic services, by type of service",Urban-Urban,,,,,Availability of toilet/laterine,Percentage (%),NG,78.3
2019,"Proportion of schools access basic services, by type of service",Rural,,,,,Availability of toilet/laterine,Percentage (%),NG,52.0
2019,"Proportion of schools access basic services, by type of service",Itenerant,,,,,Availability of toilet/laterine,Percentage (%),NG,61.6
2019,"Proportion of schools access basic services, by type of service",Rural-Rural,,,,,Availability of toilet/laterine,Percentage (%),NG,50.2
2019,"Proportion of schools access basic services, by type of service",Small Town,,,,,Availability of toilet/laterine,Percentage (%),NG,57.2
2019,"Proportion of schools access basic services, by type of service",,,Primary,,,Availability of toilet/laterine,Percentage (%),NG,54.8
2019,"Proportion of schools access basic services, by type of service",,,Secondary,,,Availability of toilet/laterine,Percentage (%),NG,69.2
2019,"Proportion of schools access basic services, by type of service",,,,,Abia,Availability of toilet/laterine,Percentage (%),NGAB01,60.2
2019,"Proportion of schools access basic services, by type of service",,,,,Adamawa,Availability of toilet/laterine,Percentage (%),NGAD02,45.8
2019,"Proportion of schools access basic services, by type of service",,,,,Akwa Ibom,Availability of toilet/laterine,Percentage (%),NGAK03,73.2
2019,"Proportion of schools access basic services, by type of service",,,,,Anambra,Availability of toilet/laterine,Percentage (%),NGAN04,79.5
2019,"Proportion of schools access basic services, by type of service",,,,,Bauchi,Availability of toilet/laterine,Percentage (%),NGBA05,73.0
2019,"Proportion of schools access basic services, by type of service",,,,,Bayelsa,Availability of toilet/laterine,Percentage (%),NGBY06,37.7
2019,"Proportion of schools access basic services, by type of service",,,,,Benue,Availability of toilet/laterine,Percentage (%),NGBE07,51.5
2019,"Proportion of schools access basic services, by type of service",,,,,Borno,Availability of toilet/laterine,Percentage (%),NGBO08,85.4
2019,"Proportion of schools access basic services, by type of service",,,,,Cross River,Availability of toilet/laterine,Percentage (%),NGXR09,55.4
2019,"Proportion of schools access basic services, by type of service",,,,,Delta,Availability of toilet/laterine,Percentage (%),NGDE10,53.2
2019,"Proportion of schools access basic services, by type of service",,,,,Ebonyi,Availability of toilet/laterine,Percentage (%),NGEB11,22.0
2019,"Proportion of schools access basic services, by type of service",,,,,Edo,Availability of toilet/laterine,Percentage (%),NGED12,65.2
2019,"Proportion of schools access basic services, by type of service",,,,,Ekiti,Availability of toilet/laterine,Percentage (%),NGEK13,50.4
2019,"Proportion of schools access basic services, by type of service",,,,,Enugu,Availability of toilet/laterine,Percentage (%),NGEN14,47.9
2019,"Proportion of schools access basic services, by type of service",,,,,Gombe,Availability of toilet/laterine,Percentage (%),NGGO15,47.1
