Year,Series,Sector,Wealth Index Quintile,Geopolitical zone,State,Units,GeoCode,Value
2018,Proportion of population using (a) safely managed sanitation services,,,,Plateau,Percentage (%),NGPL31,15.2
2018,Proportion of population using (a) safely managed sanitation services,,,,Rivers,Percentage (%),NGRI32,14.5
2018,Proportion of population using (a) safely managed sanitation services,,,,Sokoto,Percentage (%),NGSO33,24.3
2018,Proportion of population using (a) safely managed sanitation services,,,,Taraba,Percentage (%),NGTA34,15.9
2018,Proportion of population using (a) safely managed sanitation services,,,,Yobe,Percentage (%),NGYO35,7.0
2018,Proportion of population using (a) safely managed sanitation services,,,,Zamfara,Percentage (%),NGZA36,15.4
2018,Proportion of population using (a) safely managed sanitation services,,,,Federal Capital Territory,Percentage (%),NGFC37,22.1
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,,Percentage (%),NG,17.5
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,North Central,,Percentage (%),NGNCZ06,11.4
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,North East,,Percentage (%),NGNEZ05,12.1
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,North West,,Percentage (%),NGNWZ04,21.5
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,South East,,Percentage (%),NGSEZ03,12.6
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,South South,,Percentage (%),NGSSZ02,24.3
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,South West,,Percentage (%),NGSWZ01,18.0
2020,Proportion of population using (b) a hand-washing facility with soap and water,Urban,,,,Percentage (%),NG,25.1
2021,Proportion of population using (b) a hand-washing facility with soap and water,Peri-Urban,,,,Percentage (%),NG,21.7
2021,Proportion of population using (b) a hand-washing facility with soap and water,Urban-Urban,,,,Percentage (%),NG,26.0
2021,Proportion of population using (b) a hand-washing facility with soap and water,Rural,,,,Percentage (%),NG,12.7
2021,Proportion of population using (b) a hand-washing facility with soap and water,Itenerant,,,,Percentage (%),NG,19.2
2021,Proportion of population using (b) a hand-washing facility with soap and water,Rural-Rural,,,,Percentage (%),NG,13.4
2021,Proportion of population using (b) a hand-washing facility with soap and water,Small Town,,,,Percentage (%),NG,16.3
2021,Proportion of population using (b) a hand-washing facility with soap and water,,Poorest,,,Percentage (%),NG,9.7
2021,Proportion of population using (b) a hand-washing facility with soap and water,,Second,,,Percentage (%),NG,9.5
2021,Proportion of population using (b) a hand-washing facility with soap and water,,Middle,,,Percentage (%),NG,11.6
2021,Proportion of population using (b) a hand-washing facility with soap and water,,Fourth,,,Percentage (%),NG,16.0
2021,Proportion of population using (b) a hand-washing facility with soap and water,,Richest,,,Percentage (%),NG,38.6
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Abia,Percentage (%),NGAB01,7.3
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Adamawa,Percentage (%),NGAD02,9.4
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Akwa Ibom,Percentage (%),NGAK03,12.0
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Anambra,Percentage (%),NGAN04,24.4
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Bauchi,Percentage (%),NGBA05,20.6
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Bayelsa,Percentage (%),NGBY06,15.2
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Benue,Percentage (%),NGBE07,5.3
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Borno,Percentage (%),NGBO08,6.2
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Cross River,Percentage (%),NGXR09,29.9
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Delta,Percentage (%),NGDE10,34.8
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Ebonyi,Percentage (%),NGEB11,2.1
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Edo,Percentage (%),NGED12,2.0
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Ekiti,Percentage (%),NGEK13,4.2
