Year,Series,Gender,Sector,Age group,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,ICT skill,GeoCode,Value
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Ijaw,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,5.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Tiv,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,5.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Ibibio,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,16.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Edo,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,18.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Other ethnicity,,,,"Sent e-mail with attached file, such as a document, picture or video",NG,7.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Poorest,,,"Sent e-mail with attached file, such as a document, picture or video",NG,0.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Second,,,"Sent e-mail with attached file, such as a document, picture or video",NG,1.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Middle,,,"Sent e-mail with attached file, such as a document, picture or video",NG,3.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Fourth,,,"Sent e-mail with attached file, such as a document, picture or video",NG,7.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Richest,,,"Sent e-mail with attached file, such as a document, picture or video",NG,28.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,North  Central,,"Sent e-mail with attached file, such as a document, picture or video",NGNCZ06,8.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,North East,,"Sent e-mail with attached file, such as a document, picture or video",NGNEZ05,5.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,North West,,"Sent e-mail with attached file, such as a document, picture or video",NGNWZ04,3.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,South East,,"Sent e-mail with attached file, such as a document, picture or video",NGSEZ03,7.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,South South,,"Sent e-mail with attached file, such as a document, picture or video",NGSSZ02,12.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,South West,,"Sent e-mail with attached file, such as a document, picture or video",NGSWZ01,17.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Abia,"Sent e-mail with attached file, such as a document, picture or video",NGAB01,3.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Adamawa,"Sent e-mail with attached file, such as a document, picture or video",NGAD02,3.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Akwa Ibom,"Sent e-mail with attached file, such as a document, picture or video",NGAK03,8.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Anambra,"Sent e-mail with attached file, such as a document, picture or video",NGAN04,8.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Bauchi,"Sent e-mail with attached file, such as a document, picture or video",NGBA05,0.9
