Year,Series,Gender,Sector,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Kogi,,NGKO22,0.9
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Kwara,,NGKW23,7.9
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Lagos,,NGLA24,0.8
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Nasarawa,,NGNA25,2.6
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Niger,,NGNI26,11.0
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Ogun,,NGOG27,2.8
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Ondo,,NGON28,0.8
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Osun,,NGOS29,1.6
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Oyo,,NGOY30,3.7
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Plateau,,NGPL31,4.5
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Rivers,,NGRI32,0.5
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Sokoto,,NGSO33,54.8
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Taraba,,NGTA34,12.0
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Yobe,,NGYO35,32.0
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Zamfara,,NGZA36,63.1
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,Federal Capital Territory,,NGFC37,1.9
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,,3-5,NG,17.1
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,,6-11,NG,13.3
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,,12-14,NG,12.1
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,,15-17,NG,12.0
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,,18-24,NG,12.6
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,,25-30,NG,16.8
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,,31-59,NG,15.5
2021,Percentage of population age 3 and above who never attended formal education but ever attended non-formal education,,,,,,,60+,NG,20.7
