Year,Series,Severity,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Units,GeoCode,Value
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Adamawa,Percentage (%),NGAD02,24.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Akwa Ibom,Percentage (%),NGAK03,33.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Anambra,Percentage (%),NGAN04,12.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Bauchi,Percentage (%),NGBA05,32.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Bayelsa,Percentage (%),NGBY06,24.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Benue,Percentage (%),NGBE07,20.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Borno,Percentage (%),NGBO08,26.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Cross River,Percentage (%),NGXR09,28.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Delta,Percentage (%),NGDE10,20.5
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Ebonyi,Percentage (%),NGEB11,32.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Edo,Percentage (%),NGED12,27.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Ekiti,Percentage (%),NGEK13,26.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Enugu,Percentage (%),NGEN14,35.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Gombe,Percentage (%),NGGO15,17.1
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Imo,Percentage (%),NGIM16,35.1
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Jigawa,Percentage (%),NGJI17,25.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Kaduna,Percentage (%),NGKD18,40.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Kano,Percentage (%),NGKN19,17.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Katsina,Percentage (%),NGKT20,28.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Kebbi,Percentage (%),NGKE21,26.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Kogi,Percentage (%),NGKO22,35.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Kwara,Percentage (%),NGKW23,27.3
