Year,Series,Tenure rights,Sector,Geopolitical zone,Sex,Units,GeoCode,Value
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,,Male,Percentage (%),NG,23.3
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,North Central,Male,Percentage (%),NGNCZ06,27.4
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,North East,Male,Percentage (%),NGNEZ05,12.5
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,North West,Male,Percentage (%),NGNWZ04,26.3
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,South East,Male,Percentage (%),NGSEZ03,33.0
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,South South,Male,Percentage (%),NGSSZ02,8.6
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,South West,Male,Percentage (%),NGSWZ01,43.9
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,Urban,,Male,Percentage (%),NG,23.2
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,Rural,,Male,Percentage (%),NG,23.4
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,,Female,Percentage (%),NG,29.9
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,North Central,Female,Percentage (%),NGNCZ06,11.6
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,North East,Female,Percentage (%),NGNEZ05,77.5
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,North West,Female,Percentage (%),NGNWZ04,5.8
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,South East,Female,Percentage (%),NGSEZ03,25.1
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,South South,Female,Percentage (%),NGSSZ02,30.1
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,South West,Female,Percentage (%),NGSWZ01,42.7
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,Urban,,Female,Percentage (%),NG,32.4
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,Rural,,Female,Percentage (%),NG,29.5
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,,Male,Percentage (%),NG,10.7
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,North Central,Male,Percentage (%),NGNCZ06,5.1
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,North East,Male,Percentage (%),NGNEZ05,15.6
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,North West,Male,Percentage (%),NGNWZ04,11.1
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,South East,Male,Percentage (%),NGSEZ03,2.8
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,South South,Male,Percentage (%),NGSSZ02,21.7
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,South West,Male,Percentage (%),NGSWZ01,6.1
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,Urban,,Male,Percentage (%),NG,17.1
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,Rural,,Male,Percentage (%),NG,10.2
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,,Female,Percentage (%),NG,3.8
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,North Central,Female,Percentage (%),NGNCZ06,3.8
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,North East,Female,Percentage (%),NGNEZ05,8.5
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,North West,Female,Percentage (%),NGNWZ04,5.3
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,South East,Female,Percentage (%),NGSEZ03,0.9
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,South South,Female,Percentage (%),NGSSZ02,5.4
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,South West,Female,Percentage (%),NGSWZ01,7.4
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,Urban,,Female,Percentage (%),NG,7.5
2019,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,Rural,,Female,Percentage (%),NG,3.3
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,,Male,Percentage (%),NG,17.9
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,North Central,Male,Percentage (%),NGNCZ06,18.7
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,North East,Male,Percentage (%),NGNEZ05,19.6
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,North West,Male,Percentage (%),NGNWZ04,19.7
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,South East,Male,Percentage (%),NGSEZ03,6.5
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,South South,Male,Percentage (%),NGSSZ02,18.7
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,South West,Male,Percentage (%),NGSWZ01,19.6
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,Urban,,Male,Percentage (%),NG,26.8
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,Rural,,Male,Percentage (%),NG,17.1
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,,Female,Percentage (%),NG,10.0
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,North Central,Female,Percentage (%),NGNCZ06,12.0
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,North East,Female,Percentage (%),NGNEZ05,14.7
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,North West,Female,Percentage (%),NGNWZ04,12.7
2023,"Proportion of total adult population who perceive their rights to land as secure, by sex and type of tenure",,,South East,Female,Percentage (%),NGSEZ03,4.2
