Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Sokoto,,NGSO33,29.5
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Taraba,,NGTA34,32.5
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Yobe,,NGYO35,17.0
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Zamfara,,NGZA36,26.7
2017,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Federal Capital Territory,,NGFC37,74.1
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,,NG,57.3
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",Urban,,,,,,NG,78.9
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",Rural,,,,,,NG,44.8
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,Male,,,,,NG,57.8
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,Female,,,,,NG,56.8
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,0-11,NG,50.3
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,12-23,NG,57.3
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,24-35,NG,58.9
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,36-47,NG,59.5
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,,48-59,NG,59.7
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,Poorest,,,,NG,32.9
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,Second,,,,NG,44.0
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,Middle,,,,NG,58.6
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,Fourth,,,,NG,76.8
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,Richest,,,,NG,89.3
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,North  Central,,,NGNCZ06,53.3
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,North East,,,NGNEZ05,47.3
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,North West,,,NGNWZ04,47.4
