Year,Series,Measure,Sector,Geopolitical Zone,State,Unit multiplier,Units,GeoCode,Value
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Nasarawa,Units,Percentage (%),NGNA25,39.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Niger,Units,Percentage (%),NGNI26,40.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Ogun,Units,Percentage (%),NGOG27,42.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Ondo,Units,Percentage (%),NGON28,34.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Osun,Units,Percentage (%),NGOS29,36.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Oyo,Units,Percentage (%),NGOY30,39.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Plateau,Units,Percentage (%),NGPL31,43.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Rivers,Units,Percentage (%),NGRI32,38.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Sokoto,Units,Percentage (%),NGSO33,45.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Taraba,Units,Percentage (%),NGTA34,42.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Yobe,Units,Percentage (%),NGYO35,44.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Zamfara,Units,Percentage (%),NGZA36,42.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Federal Capital Territory,Units,Percentage (%),NGFC37,38.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,,Units,Percentage (%),NG,100.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,Rural,,,Units,Percentage (%),NG,69.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,Urban,,,Units,Percentage (%),NG,30.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,North  Central,,Units,Percentage (%),NGNCZ06,14.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,North East,,Units,Percentage (%),NGNEZ05,12.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,North West,,Units,Percentage (%),NGNWZ04,28.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,South East,,Units,Percentage (%),NGSEZ03,10.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,South South,,Units,Percentage (%),NGSSZ02,14.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,South West,,Units,Percentage (%),NGSWZ01,19.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Abia,Units,Percentage (%),NGAB01,1.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Adamawa,Units,Percentage (%),NGAD02,2.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Akwa Ibom,Units,Percentage (%),NGAK03,3.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Anambra,Units,Percentage (%),NGAN04,2.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Bauchi,Units,Percentage (%),NGBA05,3.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Bayelsa,Units,Percentage (%),NGBY06,1.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Benue,Units,Percentage (%),NGBE07,3.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Borno,Units,Percentage (%),NGBO08,1.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Cross River,Units,Percentage (%),NGXR09,2.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Delta,Units,Percentage (%),NGDE10,2.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Ebonyi,Units,Percentage (%),NGEB11,2.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Edo,Units,Percentage (%),NGED12,1.9
