Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Age group,Units,GeoCode,Value
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,North West,,,,,Percentage (%),NGNWZ04,30.1
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,South East,,,,,Percentage (%),NGSEZ03,47.8
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,South South,,,,,Percentage (%),NGSSZ02,39.1
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,South West,,,,,Percentage (%),NGSWZ01,51.6
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,None,,,,Percentage (%),NG,22.9
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,Primary,,,,Percentage (%),NG,38.7
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,Junior Secondary,,,,Percentage (%),NG,39.5
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,Senior Secondary,,,,Percentage (%),NG,47.9
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,Higher/Tertiary,,,,Percentage (%),NG,56.2
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Hausa,,,Percentage (%),NG,28.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Igbo,,,Percentage (%),NG,50.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Yoruba,,,Percentage (%),NG,53.2
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Fulani,,,Percentage (%),NG,19.5
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Kanuri,,,Percentage (%),NG,23.1
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Ijaw,,,Percentage (%),NG,24.5
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Tiv,,,Percentage (%),NG,44.8
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Ibibio,,,Percentage (%),NG,48.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Edo,,,Percentage (%),NG,50.3
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,Other ethnicity,,,Percentage (%),NG,38.9
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Abia,,Percentage (%),NGAB01,42.8
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Adamawa,,Percentage (%),NGAD02,23.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Akwa Ibom,,Percentage (%),NGAK03,39.6
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Anambra,,Percentage (%),NGAN04,54.2
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Bauchi,,Percentage (%),NGBA05,21.1
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Bayelsa,,Percentage (%),NGBY06,17.7
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Benue,,Percentage (%),NGBE07,38.2
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Borno,,Percentage (%),NGBO08,15.7
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Cross River,,Percentage (%),NGXR09,50.6
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Delta,,Percentage (%),NGDE10,35.1
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Ebonyi,,Percentage (%),NGEB11,57.7
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Edo,,Percentage (%),NGED12,45.6
