Year,Series,Haemoglobin level,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Maternity status,Age group,State,GeoCode,Value
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Akwa Ibom,NGAK03,27.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Anambra,NGAN04,34.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Bauchi,NGBA05,30.7
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Bayelsa,NGBY06,22.7
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Benue,NGBE07,25.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Borno,NGBO08,27.2
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Cross River,NGXR09,25.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Delta,NGDE10,28.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Ebonyi,NGEB11,23.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Edo,NGED12,26.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Ekiti,NGEK13,26.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Enugu,NGEN14,31.7
