Year,Series,Category of disaster effect,State,Unit multiplier,Units,GeoCode,Value
2022,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Federal Capital Territory,Units,Number,NGFC37,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Abia,Units,Number,NGAB01,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Adamawa,Units,Number,NGAD02,54907.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Akwa Ibom,Units,Number,NGAK03,6342.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Anambra,Units,Number,NGAN04,14745.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Bauchi,Units,Number,NGBA05,24176.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Bayelsa,Units,Number,NGBY06,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Benue,Units,Number,NGBE07,1798.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Borno,Units,Number,NGBO08,10000.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Cross River,Units,Number,NGXR09,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Delta,Units,Number,NGDE10,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Ebonyi,Units,Number,NGEB11,25235.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Edo,Units,Number,NGED12,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Ekiti,Units,Number,NGEK13,6182.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Enugu,Units,Number,NGEN14,17325.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Gombe,Units,Number,NGGO15,19957.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Imo,Units,Number,NGIM16,3190.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Jigawa,Units,Number,NGJI17,4649.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kaduna,Units,Number,NGKD18,2301.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kano,Units,Number,NGKN19,2218.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Katsina,Units,Number,NGKT20,53785.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kebbi,Units,Number,NGKE21,137252.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kogi,Units,Number,NGKO22,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kwara,Units,Number,NGKW23,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Lagos,Units,Number,NGLA24,12494.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Nasarawa,Units,Number,NGNA25,5792.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Niger,Units,Number,NGNI26,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Ogun,Units,Number,NGOG27,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Ondo,Units,Number,NGON28,9230.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Osun,Units,Number,NGOS29,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Oyo,Units,Number,NGOY30,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Plateau,Units,Number,NGPL31,4471.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Rivers,Units,Number,NGRI32,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Sokoto,Units,Number,NGSO33,16403.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Taraba,Units,Number,NGTA34,111704.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Yobe,Units,Number,NGYO35,160.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Zamfara,Units,Number,NGZA36,111704.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Federal Capital Territory,Units,Number,NGFC37,696.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Abia,Units,Number,NGAB01,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Adamawa,Units,Number,NGAD02,44465.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Akwa Ibom,Units,Number,NGAK03,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Anambra,Units,Number,NGAN04,11104.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Bauchi,Units,Number,NGBA05,9712.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Bayelsa,Units,Number,NGBY06,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Benue,Units,Number,NGBE07,1103.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Borno,Units,Number,NGBO08,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Cross River,Units,Number,NGXR09,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Delta,Units,Number,NGDE10,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Ebonyi,Units,Number,NGEB11,668.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Edo,Units,Number,NGED12,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Ekiti,Units,Number,NGEK13,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Enugu,Units,Number,NGEN14,15424.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Gombe,Units,Number,NGGO15,4523.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Imo,Units,Number,NGIM16,2100.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Jigawa,Units,Number,NGJI17,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Kaduna,Units,Number,NGKD18,385.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Kano,Units,Number,NGKN19,85.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Katsina,Units,Number,NGKT20,5333.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Kebbi,Units,Number,NGKE21,39004.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Kogi,Units,Number,NGKO22,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Kwara,Units,Number,NGKW23,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Lagos,Units,Number,NGLA24,5940.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Nasarawa,Units,Number,NGNA25,3842.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Niger,Units,Number,NGNI26,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Ogun,Units,Number,NGOG27,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Ondo,Units,Number,NGON28,2100.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Osun,Units,Number,NGOS29,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Oyo,Units,Number,NGOY30,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Plateau,Units,Number,NGPL31,2323.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Rivers,Units,Number,NGRI32,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Sokoto,Units,Number,NGSO33,6940.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Taraba,Units,Number,NGTA34,53696.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Yobe,Units,Number,NGYO35,160.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Zamfara,Units,Number,NGZA36,53696.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Federal Capital Territory,Units,Number,NGFC37,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Abia,Units,Number,NGAB01,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Adamawa,Units,Number,NGAD02,1.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Akwa Ibom,Units,Number,NGAK03,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Anambra,Units,Number,NGAN04,1.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Bauchi,Units,Number,NGBA05,4.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Bayelsa,Units,Number,NGBY06,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Benue,Units,Number,NGBE07,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Borno,Units,Number,NGBO08,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Cross River,Units,Number,NGXR09,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Delta,Units,Number,NGDE10,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ebonyi,Units,Number,NGEB11,32.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Edo,Units,Number,NGED12,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ekiti,Units,Number,NGEK13,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Enugu,Units,Number,NGEN14,60.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Gombe,Units,Number,NGGO15,6.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Imo,Units,Number,NGIM16,1.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Jigawa,Units,Number,NGJI17,2.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kaduna,Units,Number,NGKD18,110.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kano,Units,Number,NGKN19,1.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Katsina,Units,Number,NGKT20,137.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kebbi,Units,Number,NGKE21,60.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kogi,Units,Number,NGKO22,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kwara,Units,Number,NGKW23,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Lagos,Units,Number,NGLA24,28.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Nasarawa,Units,Number,NGNA25,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Niger,Units,Number,NGNI26,0.0
