Year,Series,Measure,State,GeoCode,Value
2022,Death rate due to road traffic injuries,Number of Fatality,Benue,NGBE07,118
2022,Death rate due to road traffic injuries,Number of Fatality,Borno,NGBO08,120
2022,Death rate due to road traffic injuries,Number of Fatality,Cross River,NGXR09,64
2022,Death rate due to road traffic injuries,Number of Fatality,Delta,NGDE10,149
2022,Death rate due to road traffic injuries,Number of Fatality,Ebonyi,NGEB11,68
2022,Death rate due to road traffic injuries,Number of Fatality,Edo,NGED12,141
2022,Death rate due to road traffic injuries,Number of Fatality,Ekiti,NGEK13,41
2022,Death rate due to road traffic injuries,Number of Fatality,Enugu,NGEN14,99
2022,Death rate due to road traffic injuries,Number of Fatality,Federal Capital Territory,NGFC37,403
2022,Death rate due to road traffic injuries,Number of Fatality,Gombe,NGGO15,107
2022,Death rate due to road traffic injuries,Number of Fatality,Imo,NGIM16,51
2022,Death rate due to road traffic injuries,Number of Fatality,Jigawa,NGJI17,173
2022,Death rate due to road traffic injuries,Number of Fatality,Kaduna,NGKD18,680
2022,Death rate due to road traffic injuries,Number of Fatality,Kano,NGKN19,363
2022,Death rate due to road traffic injuries,Number of Fatality,Katsina,NGKT20,168
2022,Death rate due to road traffic injuries,Number of Fatality,Kebbi,NGKE21,117
2022,Death rate due to road traffic injuries,Number of Fatality,Kogi,NGKO22,293
2022,Death rate due to road traffic injuries,Number of Fatality,Kwara,NGKW23,237
2022,Death rate due to road traffic injuries,Number of Fatality,Lagos,NGLA24,179
2022,Death rate due to road traffic injuries,Number of Fatality,Nasarawa,NGNA25,270
2022,Death rate due to road traffic injuries,Number of Fatality,Niger,NGNI26,367
2022,Death rate due to road traffic injuries,Number of Fatality,Ogun,NGOG27,395
2022,Death rate due to road traffic injuries,Number of Fatality,Ondo,NGON28,181
2022,Death rate due to road traffic injuries,Number of Fatality,Osun,NGOS29,118
2022,Death rate due to road traffic injuries,Number of Fatality,Oyo,NGOY30,305
2022,Death rate due to road traffic injuries,Number of Fatality,Plateau,NGPL31,136
2022,Death rate due to road traffic injuries,Number of Fatality,Rivers,NGRI32,38
2022,Death rate due to road traffic injuries,Number of Fatality,Sokoto,NGSO33,145
2022,Death rate due to road traffic injuries,Number of Fatality,Taraba,NGTA34,57
2022,Death rate due to road traffic injuries,Number of Fatality,Yobe,NGYO35,193
2022,Death rate due to road traffic injuries,Number of Fatality,Zamfara,NGZA36,58
2022,Death rate due to road traffic injuries,Number of Fatality,,NG,6456
2023,Death rate due to road traffic injuries,Number of Fatality,Abia,NGAB01,44
2023,Death rate due to road traffic injuries,Number of Fatality,Adamawa,NGAD02,42
2023,Death rate due to road traffic injuries,Number of Fatality,Akwa Ibom,NGAK03,27
2023,Death rate due to road traffic injuries,Number of Fatality,Anambra,NGAN04,43
2023,Death rate due to road traffic injuries,Number of Fatality,Bauchi,NGBA05,285
2023,Death rate due to road traffic injuries,Number of Fatality,Bayelsa,NGBY06,9
2023,Death rate due to road traffic injuries,Number of Fatality,Benue,NGBE07,69
2023,Death rate due to road traffic injuries,Number of Fatality,Borno,NGBO08,44
2023,Death rate due to road traffic injuries,Number of Fatality,Cross River,NGXR09,57
2023,Death rate due to road traffic injuries,Number of Fatality,Delta,NGDE10,95
2023,Death rate due to road traffic injuries,Number of Fatality,Ebonyi,NGEB11,78
2023,Death rate due to road traffic injuries,Number of Fatality,Edo,NGED12,123
2023,Death rate due to road traffic injuries,Number of Fatality,Ekiti,NGEK13,36
2023,Death rate due to road traffic injuries,Number of Fatality,Enugu,NGEN14,108
2023,Death rate due to road traffic injuries,Number of Fatality,Federal Capital Territory,NGFC37,316
2023,Death rate due to road traffic injuries,Number of Fatality,Gombe,NGGO15,96
2023,Death rate due to road traffic injuries,Number of Fatality,Imo,NGIM16,53
2023,Death rate due to road traffic injuries,Number of Fatality,Jigawa,NGJI17,136
2023,Death rate due to road traffic injuries,Number of Fatality,Kaduna,NGKD18,490
2023,Death rate due to road traffic injuries,Number of Fatality,Kano,NGKN19,201
2023,Death rate due to road traffic injuries,Number of Fatality,Katsina,NGKT20,121
2023,Death rate due to road traffic injuries,Number of Fatality,Kebbi,NGKE21,126
2023,Death rate due to road traffic injuries,Number of Fatality,Kogi,NGKO22,238
2023,Death rate due to road traffic injuries,Number of Fatality,Kwara,NGKW23,199
2023,Death rate due to road traffic injuries,Number of Fatality,Lagos,NGLA24,143
2023,Death rate due to road traffic injuries,Number of Fatality,Nasarawa,NGNA25,147
2023,Death rate due to road traffic injuries,Number of Fatality,Niger,NGNI26,325
2023,Death rate due to road traffic injuries,Number of Fatality,Ogun,NGOG27,394
2023,Death rate due to road traffic injuries,Number of Fatality,Ondo,NGON28,180
2023,Death rate due to road traffic injuries,Number of Fatality,Osun,NGOS29,155
2023,Death rate due to road traffic injuries,Number of Fatality,Oyo,NGOY30,270
2023,Death rate due to road traffic injuries,Number of Fatality,Plateau,NGPL31,120
2023,Death rate due to road traffic injuries,Number of Fatality,Rivers,NGRI32,26
2023,Death rate due to road traffic injuries,Number of Fatality,Sokoto,NGSO33,72
2023,Death rate due to road traffic injuries,Number of Fatality,Taraba,NGTA34,47
2023,Death rate due to road traffic injuries,Number of Fatality,Yobe,NGYO35,101
2023,Death rate due to road traffic injuries,Number of Fatality,Zamfara,NGZA36,65
2023,Death rate due to road traffic injuries,Number of Fatality,,NG,5081
2021,Death rate due to road traffic injuries,Number Injured,Abia,NGAB01,307
2021,Death rate due to road traffic injuries,Number Injured,Adamawa,NGAD02,930
2021,Death rate due to road traffic injuries,Number Injured,Akwa Ibom,NGAK03,124
2021,Death rate due to road traffic injuries,Number Injured,Anambra,NGAN04,583
2021,Death rate due to road traffic injuries,Number Injured,Bauchi,NGBA05,2561
2021,Death rate due to road traffic injuries,Number Injured,Bayelsa,NGBY06,94
2021,Death rate due to road traffic injuries,Number Injured,Benue,NGBE07,575
2021,Death rate due to road traffic injuries,Number Injured,Borno,NGBO08,323
2021,Death rate due to road traffic injuries,Number Injured,Cross River,NGXR09,401
2021,Death rate due to road traffic injuries,Number Injured,Delta,NGDE10,626
2021,Death rate due to road traffic injuries,Number Injured,Ebonyi,NGEB11,390
2021,Death rate due to road traffic injuries,Number Injured,Edo,NGED12,577
2021,Death rate due to road traffic injuries,Number Injured,Ekiti,NGEK13,388
2021,Death rate due to road traffic injuries,Number Injured,Enugu,NGEN14,783
2021,Death rate due to road traffic injuries,Number Injured,Federal Capital Territory,NGFC37,2184
2021,Death rate due to road traffic injuries,Number Injured,Gombe,NGGO15,945
2021,Death rate due to road traffic injuries,Number Injured,Imo,NGIM16,350
2021,Death rate due to road traffic injuries,Number Injured,Jigawa,NGJI17,1456
2021,Death rate due to road traffic injuries,Number Injured,Kaduna,NGKD18,3361
2021,Death rate due to road traffic injuries,Number Injured,Kano,NGKN19,1211
2021,Death rate due to road traffic injuries,Number Injured,Katsina,NGKT20,571
2021,Death rate due to road traffic injuries,Number Injured,Kebbi,NGKE21,676
2021,Death rate due to road traffic injuries,Number Injured,Kogi,NGKO22,1379
2021,Death rate due to road traffic injuries,Number Injured,Kwara,NGKW23,1357
2021,Death rate due to road traffic injuries,Number Injured,Lagos,NGLA24,1004
2021,Death rate due to road traffic injuries,Number Injured,Nasarawa,NGNA25,2273
2021,Death rate due to road traffic injuries,Number Injured,Niger,NGNI26,2344
2021,Death rate due to road traffic injuries,Number Injured,Ogun,NGOG27,2558
2021,Death rate due to road traffic injuries,Number Injured,Ondo,NGON28,1087
2021,Death rate due to road traffic injuries,Number Injured,Osun,NGOS29,1193
2021,Death rate due to road traffic injuries,Number Injured,Oyo,NGOY30,1637
2021,Death rate due to road traffic injuries,Number Injured,Plateau,NGPL31,923
2021,Death rate due to road traffic injuries,Number Injured,Rivers,NGRI32,342
2021,Death rate due to road traffic injuries,Number Injured,Sokoto,NGSO33,430
2021,Death rate due to road traffic injuries,Number Injured,Taraba,NGTA34,690
2021,Death rate due to road traffic injuries,Number Injured,Yobe,NGYO35,883
2021,Death rate due to road traffic injuries,Number Injured,Zamfara,NGZA36,557
2021,Death rate due to road traffic injuries,Number Injured,,NG,38073
2022,Death rate due to road traffic injuries,Number Injured,Abia,NGAB01,441
2022,Death rate due to road traffic injuries,Number Injured,Adamawa,NGAD02,610
2022,Death rate due to road traffic injuries,Number Injured,Akwa Ibom,NGAK03,228
2022,Death rate due to road traffic injuries,Number Injured,Anambra,NGAN04,372
2022,Death rate due to road traffic injuries,Number Injured,Bauchi,NGBA05,1809
2022,Death rate due to road traffic injuries,Number Injured,Bayelsa,NGBY06,119
2022,Death rate due to road traffic injuries,Number Injured,Benue,NGBE07,946
2022,Death rate due to road traffic injuries,Number Injured,Borno,NGBO08,532
2022,Death rate due to road traffic injuries,Number Injured,Cross River,NGXR09,260
2022,Death rate due to road traffic injuries,Number Injured,Delta,NGDE10,711
2022,Death rate due to road traffic injuries,Number Injured,Ebonyi,NGEB11,366
2022,Death rate due to road traffic injuries,Number Injured,Edo,NGED12,658
2022,Death rate due to road traffic injuries,Number Injured,Ekiti,NGEK13,179
2022,Death rate due to road traffic injuries,Number Injured,Enugu,NGEN14,760
2022,Death rate due to road traffic injuries,Number Injured,Federal Capital Territory,NGFC37,3070
2022,Death rate due to road traffic injuries,Number Injured,Gombe,NGGO15,1001
2022,Death rate due to road traffic injuries,Number Injured,Imo,NGIM16,242
2022,Death rate due to road traffic injuries,Number Injured,Jigawa,NGJI17,1877
2022,Death rate due to road traffic injuries,Number Injured,Kaduna,NGKD18,3158
2022,Death rate due to road traffic injuries,Number Injured,Kano,NGKN19,1564
2022,Death rate due to road traffic injuries,Number Injured,Katsina,NGKT20,597
2022,Death rate due to road traffic injuries,Number Injured,Kebbi,NGKE21,707
2022,Death rate due to road traffic injuries,Number Injured,Kogi,NGKO22,1587
2022,Death rate due to road traffic injuries,Number Injured,Kwara,NGKW23,1176
2022,Death rate due to road traffic injuries,Number Injured,Lagos,NGLA24,954
2022,Death rate due to road traffic injuries,Number Injured,Nasarawa,NGNA25,2364
2022,Death rate due to road traffic injuries,Number Injured,Niger,NGNI26,2071
2022,Death rate due to road traffic injuries,Number Injured,Ogun,NGOG27,2632
2022,Death rate due to road traffic injuries,Number Injured,Ondo,NGON28,1202
2022,Death rate due to road traffic injuries,Number Injured,Osun,NGOS29,1267
2022,Death rate due to road traffic injuries,Number Injured,Oyo,NGOY30,1855
2022,Death rate due to road traffic injuries,Number Injured,Plateau,NGPL31,935
2022,Death rate due to road traffic injuries,Number Injured,Rivers,NGRI32,197
2022,Death rate due to road traffic injuries,Number Injured,Sokoto,NGSO33,523
2022,Death rate due to road traffic injuries,Number Injured,Taraba,NGTA34,819
2022,Death rate due to road traffic injuries,Number Injured,Yobe,NGYO35,753
2022,Death rate due to road traffic injuries,Number Injured,Zamfara,NGZA36,388
2022,Death rate due to road traffic injuries,Number Injured,,NG,38930
2023,Death rate due to road traffic injuries,Number Injured,Abia,NGAB01,268
2023,Death rate due to road traffic injuries,Number Injured,Adamawa,NGAD02,569
2023,Death rate due to road traffic injuries,Number Injured,Akwa Ibom,NGAK03,86
2023,Death rate due to road traffic injuries,Number Injured,Anambra,NGAN04,297
2023,Death rate due to road traffic injuries,Number Injured,Bauchi,NGBA05,1392
2023,Death rate due to road traffic injuries,Number Injured,Bayelsa,NGBY06,57
2023,Death rate due to road traffic injuries,Number Injured,Benue,NGBE07,530
2023,Death rate due to road traffic injuries,Number Injured,Borno,NGBO08,543
2023,Death rate due to road traffic injuries,Number Injured,Cross River,NGXR09,187
2023,Death rate due to road traffic injuries,Number Injured,Delta,NGDE10,357
2023,Death rate due to road traffic injuries,Number Injured,Ebonyi,NGEB11,339
2023,Death rate due to road traffic injuries,Number Injured,Edo,NGED12,586
