Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical Zone,Education Level,Age group,Tobacco type,Units,GeoCode,Value
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,35-39,Cigarettes,Percentage (%),NG,8.5
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,40-44,Cigarettes,Percentage (%),NG,7.6
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,45-49,Cigarettes,Percentage (%),NG,5.8
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,50-59,Cigarettes,Percentage (%),NG,4.6
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,,Other type of tobacco,Percentage (%),NG,1.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Urban,Male,,,,,Other type of tobacco,Percentage (%),NG,1.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Rural,Male,,,,,Other type of tobacco,Percentage (%),NG,1.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,Lowest,,,,Other type of tobacco,Percentage (%),NG,1.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,Second,,,,Other type of tobacco,Percentage (%),NG,1.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,Middle,,,,Other type of tobacco,Percentage (%),NG,1.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,Fourth,,,,Other type of tobacco,Percentage (%),NG,1.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,Highest,,,,Other type of tobacco,Percentage (%),NG,1.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,North  Central,,,Other type of tobacco,Percentage (%),NGNCZ06,1.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,North East,,,Other type of tobacco,Percentage (%),NGNEZ05,0.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,North West,,,Other type of tobacco,Percentage (%),NGNWZ04,0.9
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,South East,,,Other type of tobacco,Percentage (%),NGSEZ03,1.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,South South,,,Other type of tobacco,Percentage (%),NGSSZ02,1.9
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,South West,,,Other type of tobacco,Percentage (%),NGSWZ01,1.9
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,None,,Other type of tobacco,Percentage (%),NG,1.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,Primary,,Other type of tobacco,Percentage (%),NG,1.9
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,Secondary,,Other type of tobacco,Percentage (%),NG,1.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,More than Secondary,,Other type of tobacco,Percentage (%),NG,0.7
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,15-19,Other type of tobacco,Percentage (%),NG,0.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,20-24,Other type of tobacco,Percentage (%),NG,0.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,25-29,Other type of tobacco,Percentage (%),NG,1.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,30-34,Other type of tobacco,Percentage (%),NG,1.9
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,35-39,Other type of tobacco,Percentage (%),NG,1.8
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,40-44,Other type of tobacco,Percentage (%),NG,1.5
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,45-49,Other type of tobacco,Percentage (%),NG,1.9
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,50-59,Other type of tobacco,Percentage (%),NG,0.9
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,,Any type of tobacco,Percentage (%),NG,5.5
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Urban,Male,,,,,Any type of tobacco,Percentage (%),NG,5.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Rural,Male,,,,,Any type of tobacco,Percentage (%),NG,6.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,Lowest,,,,Any type of tobacco,Percentage (%),NG,5.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,Second,,,,Any type of tobacco,Percentage (%),NG,5.8
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,Middle,,,,Any type of tobacco,Percentage (%),NG,6.9
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,Fourth,,,,Any type of tobacco,Percentage (%),NG,6.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,Highest,,,,Any type of tobacco,Percentage (%),NG,4.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,North  Central,,,Any type of tobacco,Percentage (%),NGNCZ06,6.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,North East,,,Any type of tobacco,Percentage (%),NGNEZ05,3.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,North West,,,Any type of tobacco,Percentage (%),NGNWZ04,4.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,South East,,,Any type of tobacco,Percentage (%),NGSEZ03,9.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,South South,,,Any type of tobacco,Percentage (%),NGSSZ02,10.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,South West,,,Any type of tobacco,Percentage (%),NGSWZ01,4.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,None,,Any type of tobacco,Percentage (%),NG,5.2
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,Primary,,Any type of tobacco,Percentage (%),NG,9.8
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,Secondary,,Any type of tobacco,Percentage (%),NG,5.5
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,More than Secondary,,Any type of tobacco,Percentage (%),NG,3.4
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,15-19,Any type of tobacco,Percentage (%),NG,0.8
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,20-24,Any type of tobacco,Percentage (%),NG,3.1
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,25-29,Any type of tobacco,Percentage (%),NG,6.5
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,30-34,Any type of tobacco,Percentage (%),NG,8.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,35-39,Any type of tobacco,Percentage (%),NG,8.6
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,40-44,Any type of tobacco,Percentage (%),NG,8.0
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,45-49,Any type of tobacco,Percentage (%),NG,6.3
2018,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,Male,,,,50-59,Any type of tobacco,Percentage (%),NG,4.8
